is_checked_out,title,author,description
false,The Great Gatsby,F. Scott Fitzgerald,A classic American novel set in the Jazz Age exploring themes of wealth and the American Dream
true,To Kill a Mockingbird,Harper Lee,A powerful story of racial injustice and childhood innocence in the American South
false,1984,George Orwell,A dystopian novel depicting a totalitarian society under constant surveillance
true,Pride and Prejudice,Jane Austen,A romantic novel exploring manners and marriage in Georgian England
false,The Catcher in the Rye,J.D. Salinger,A coming-of-age story following teenager Holden Caulfield in New York City
false,Harry Potter and the Sorcerer's Stone,J.K. Rowling,The first book in the magical series about a young wizard discovering his destiny
true,The Hobbit,J.R.R. Tolkien,An adventure tale of Bilbo Baggins and his unexpected journey to reclaim treasure
false,Fahrenheit 451,Ray Bradbury,A dystopian novel about a future society where books are banned and burned
true,The Lord of the Rings,J.R.R. Tolkien,An epic fantasy trilogy following the quest to destroy the One Ring
false,Animal Farm,George Orwell,An allegorical novella about farm animals rebelling against their human farmer
false,Brave New World,Aldous Huxley,A dystopian novel set in a futuristic World State of genetically modified citizens
true,The Chronicles of Narnia,C.S. Lewis,A fantasy series about children discovering a magical world through a wardrobe
false,Moby-Dick,Herman Melville,An epic tale of Captain Ahab's obsessive quest to hunt a white whale
true,Jane Eyre,Charlotte Brontë,A Gothic romance following an orphaned governess and her complex love story
false,Wuthering Heights,Emily Brontë,A passionate tale of love and revenge on the Yorkshire moors
false,The Odyssey,Homer,An ancient Greek epic poem about Odysseus's ten-year journey home after the Trojan War
true,Crime and Punishment,Fyodor Dostoevsky,A psychological novel exploring morality through the story of a troubled student
false,The Brothers Karamazov,Fyodor Dostoevsky,A philosophical novel examining faith and doubt through a family drama
true,War and Peace,Leo Tolstoy,An epic historical novel set during Napoleon's invasion of Russia
false,Anna Karenina,Leo Tolstoy,A tragic love story exploring themes of family and society in Imperial Russia
false,The Picture of Dorian Gray,Oscar Wilde,A philosophical novel about a man who remains young while his portrait ages
true,Dracula,Bram Stoker,A Gothic horror novel about the vampire Count Dracula's attempt to move to England
false,Frankenstein,Mary Shelley,A Gothic novel about a scientist who creates a sapient creature through experimentation
true,The Adventures of Sherlock Holmes,Arthur Conan Doyle,A collection of detective stories featuring the brilliant Sherlock Holmes
false,Alice's Adventures in Wonderland,Lewis Carroll,A fantasy novel about a girl who falls through a rabbit hole into a magical world
false,The Little Prince,Antoine de Saint-Exupéry,A philosophical tale about a young prince who travels from planet to planet
true,Don Quixote,Miguel de Cervantes,A Spanish novel about a man who reads so many chivalric romances he loses his sanity
false,One Hundred Years of Solitude,Gabriel García Márquez,A magical realist novel chronicling seven generations of the Buendía family
true,The Alchemist,Paulo Coelho,A philosophical novel about an Andalusian shepherd's journey to find treasure
false,The Kite Runner,Khaled Hosseini,A powerful story of friendship and redemption set in Afghanistan
